date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-13,158,不在一起就不會分開,Pei-Yu Hung,17,159,75,"11,010",7gq2WiPb6MgCAL9YEUkpZW,0rARfHZ4ZteUlzbAuxUwAs
2023-09-13,159,下雨天,Nan Quan Mama,133,161,15,"11,001",3BfjVIPmUpIrgqLdOJP1My,48Smhc0ISwYYRSad1uXSns
2023-09-13,160,浪流連,EggPlantEgg,1,160,28,"10,915",7a6VJHMS9ttKsj55cKC51G,6g641431O1Xkl7HAs2yFEg
2023-09-13,161,你被寫在我的歌裡,"sodagreen, Ella Chen",144,170,4,"10,905",7ovUSP7jWkzWR2SHptYJfd,3WYT2b8pOLsLsqSaoWYr7U
2023-09-13,162,遺憾,Abin Fang,64,181,21,"10,840",5nQCxF5H1f0XcEWeaRVUED,3sHU5vwszRfnJNhvcYNZdS
2023-09-13,163,我很好騙,Power Station,5,163,885,"10,816",69AvckyixY1AIGRYDZ1QnO,6zCAdMK7SVxKyGMnAc26Cy
2023-09-13,164,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,8,179,68,"10,779",1bkvGbgK4HU8B7Ue4k7O7I,7aRC4L63dBn3CiLDuWaLSI
2023-09-13,165,bad idea right?,Olivia Rodrigo,73,173,6,"10,738",3IX0yuEVvDbnqUwMBB3ouC,1McMsnEElThX1knmY4oliG
2023-09-13,166,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,1,154,51,"10,711",6iNH42q8haGYDYGhKK6XiJ,28gf2piFx6cAKOMIwcky5a
2023-09-13,167,與愛無關 (劇集《七時吉祥》自愛勇氣曲),LaLa Hsu,84,125,9,"10,680",0SVP6Ws01w946iBsHepY4Y,3dI4Io8XE33J2o04ZwjR0Y
2023-09-13,168,Peter Pan Was Right,Anson Seabra,134,174,11,"10,671",2At18rPHOuTEjGEppwGV0A,2jHp7gQArCQrlMvdrIVFCg
2023-09-13,169,Something Just Like This,"The Chainsmokers, Coldplay",1,169,13,"10,656",6RUKPb4LETWmmr3iAEQktW,69GGBxA162lTqCwzJG5jLp
